Iter^{-1/2}, Pi
0.0309049, 3.9809
0.0308901, 3.9771
0.0308754, 3.97331
0.0308607, 3.97714
0.030846, 3.97336
0.0308313, 3.97719
0.0308167, 3.98101
0.0308021, 3.97723
0.0307875, 3.98104
0.0307729, 3.98485
0.0307583, 3.98865
0.0307438, 3.98488
0.0307293, 3.98867
0.0307148, 3.99245
0.0307003, 3.99623
0.0306858, 4
0.0306714, 3.99624
0.030657, 3.99248
0.0306426, 3.98873
0.0306282, 3.9925
0.0306138, 3.99625
0.0305995, 3.99251
0.0305852, 3.99626
0.0305709, 4
0.0305566, 3.99627
0.0305424, 4
0.0305281, 3.99627
0.0305139, 4
0.0304997, 3.99628
0.0304855, 4
0.0304714, 4.00371
0.0304572, 4
0.0304431, 4.00371
0.030429, 4.00741
0.030415, 4.0111
0.0304009, 4.01479
0.0303869, 4.01847
0.0303728, 4.01476
0.0303588, 4.01106
0.0303449, 4.00737
0.0303309, 4.01104
0.030317, 4.00735
0.030303, 4.01102
0.0302891, 4.00734
0.0302752, 4.011
0.0302614, 4.00733
0.0302475, 4.01098
0.0302337, 4.01463
0.0302199, 4.01826
0.0302061, 4.0219
0.0301923, 4.02552
0.0301786, 4.02186
0.0301648, 4.0182
0.0301511, 4.01455
0.0301374, 4.01817
0.0301238, 4.01452
0.0301101, 4.01813
0.0300965, 4.01449
0.0300828, 4.0181
0.0300692, 4.0217
0.0300557, 4.02529
0.0300421, 4.02888
0.0300285, 4.03246
0.030015, 4.03604
0.0300015, 4.0324
0.029988, 4.03597
0.0299745, 4.03235
0.0299611, 4.02873
0.0299476, 4.02511
0.0299342, 4.02867
0.0299208, 4.02507
0.0299074, 4.02147
0.0298941, 4.02502
0.0298807, 4.02143
0.0298674, 4.02498
0.0298541, 4.02139
0.0298408, 4.02493
0.0298275, 4.02847
0.0298142, 4.032
0.029801, 4.02842
0.0297878, 4.02484
0.0297746, 4.02128
0.0297614, 4.0248
0.0297482, 4.02124
0.0297351, 4.02476
0.0297219, 4.02827
0.0297088, 4.02471
0.0296957, 4.02116
0.0296826, 4.01762
0.0296695, 4.02113
0.0296565, 4.01759
0.0296435, 4.02109
0.0296304, 4.02458
0.0296174, 4.02807
0.0296045, 4.02454
0.0295915, 4.02802
0.0295786, 4.0245
0.0295656, 4.02797
0.0295527, 4.03144
0.0295398, 4.0349
0.0295269, 4.03836
0.0295141, 4.03484
0.0295012, 4.03133
0.0294884, 4.03478
0.0294756, 4.03823
0.0294628, 4.03472
0.02945, 4.03816
0.0294372, 4.03466
0.0294245, 4.0381
0.0294118, 4.0346
0.0293991, 4.03111
0.0293864, 4.02763
0.0293737, 4.03106
0.029361, 4.03448
0.0293484, 4.0379
0.0293357, 4.04131
0.0293231, 4.03783
0.0293105, 4.04124
0.0292979, 4.03777
0.0292854, 4.04117
0.0292728, 4.0377
0.0292603, 4.0411
0.0292478, 4.03764
0.0292353, 4.04103
0.0292228, 4.03757
0.0292103, 4.03413
0.0291979, 4.03069
0.0291854, 4.03407
0.029173, 4.03745
0.0291606, 4.03401
0.0291482, 4.03738
0.0291358, 4.03396
0.0291235, 4.03053
0.0291111, 4.02712
0.0290988, 4.03048
0.0290865, 4.02707
0.0290742, 4.03043
